candidate_rank,package_name,download_count,summary,package_version_at_cutoff,package_build_at_cutoff,package_subdir,artifact_basename,artifact_sha256,repository_url,repository_mapping_source,repository_archived,snapshot_commit,primary_language,languages_json,upstream_project_id,executable_candidate,executable_confidence,interface_status,interface_evidence_json,input_families,output_families,data_requirement,provisionally_eligible,eligible_sequence,first_200_eligible,exclusion_code,review_status,notes
800,perl-file-sharedir-install,21101,Install shared files.,0.14,pl5321hdfd78af_0,noarch,noarch/perl-file-sharedir-install-0.14-pl5321hdfd78af_0.tar.bz2,93928d3c08df8d5ebf397be77abe9d17268d5ffe26244e09ddcc8800ad3972b5,https://github.com/Perl-Toolchain-Gang/File-ShareDir-Install,anaconda:dev_url,False,811a1ca0f6041c7a3ac3d7593c4057da913c71d4,Perl,"{""Perl"": 24042}",perl-toolchain-gang.file-sharedir-install,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,LIBRARY_ONLY,metadata_interface_reviewed,
801,perl-math-round,21094,Perl extension for rounding numbers,0.07,pl5321hdfd78af_2,noarch,noarch/perl-math-round-0.07-pl5321hdfd78af_2.tar.bz2,,,,,,,{},,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
802,bioconductor-pwalign,21013,Perform pairwise sequence alignments,1.6.0,r45h01b2380_0,linux-64,linux-64/bioconductor-pwalign-1.6.0-r45h01b2380_0.conda,e7286764a81b461d88f0e39b9b7f4f809e42b0088762dedbe33f95c8a33a5693,,,,,,{},,,none,unknown,"[""repository-metadata:tree-unavailable""]",FASTA,FASTA,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
803,ncbi-datasets-pyclient,20969,NCBI Datasets API,18.32.0,pyh106432d_0,noarch,noarch/ncbi-datasets-pyclient-18.32.0-pyh106432d_0.conda,ec18416059e24f69f08da02549bc28869703c631b81e45bfad3dad290a2b6207,https://github.com/ncbi/datasets,anaconda:dev_url,False,868f13528d356b804dcf5eb5d49ee1189df62fc4,Jupyter Notebook,"{""Go"": 277462, ""Jupyter Notebook"": 356389, ""Mustache"": 38454, ""Shell"": 1606, ""Starlark"": 6569}",ncbi.datasets,,none,excluded,"[""upstream-description:data-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,UNSUPPORTED_PRIMARY_LANGUAGE,metadata_interface_reviewed,
804,macs3,20936,Model Based Analysis for ChIP-Seq data.,3.0.4,py313hda738de_0,linux-64,linux-64/macs3-3.0.4-py313hda738de_0.conda,3505b0773f85e8cc2448ffe0ce9eabcbd3822ba9004874ed4028e01a9dff4b59,https://github.com/macs3-project/MACS,anaconda:dev_url,False,d49d77f55400e38edc036cca92b1006b51717b2a,Python,"{""C"": 215881, ""C++"": 10635, ""Cython"": 3644, ""Jupyter Notebook"": 704418, ""Makefile"": 1433, ""Python"": 1217735, ""Shell"": 46215}",macs3-project.macs,macs3,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:macs3"", ""repository:bin/macs3:launcher""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,DUPLICATE_PROJECT_ALIAS,metadata_interface_reviewed,Earlier eligible package mapped to same upstream
805,perl-text-parsewords,20929,parse text into an array of tokens or array of arrays,3.31,pl5321hdfd78af_0,noarch,noarch/perl-text-parsewords-3.31-pl5321hdfd78af_0.tar.bz2,,,,,,,{},,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
806,svdb,20927,Structural variant database software.,2.10.2,py310h3479294_0,linux-64,linux-64/svdb-2.10.2-py310h3479294_0.conda,f59244c973a106bd7257865673447b7c57b2e21fd13020118d138421ce0dd4a7,https://github.com/J35P312/SVDB,anaconda:dev_url,False,9ac5f336aac0f9545756dba417a83cb65e236bfb,Python,"{""Dockerfile"": 1218, ""Python"": 316011}",j35p312.svdb,svdb,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:svdb"", ""repository:setup.py:declared-executable:svdb""]",VCF,VCF,UNKNOWN,True,194,True,,metadata_interface_reviewed,
807,bioconductor-scran,20910,Methods for Single-Cell RNA-Seq Data Analysis,1.38.0,r45ha27e39d_0,linux-64,linux-64/bioconductor-scran-1.38.0-r45ha27e39d_0.conda,8c48dc773d3dd9aa2a260e03e607c9cb56064ff89b695290b377f51c1ba13791,,,,,,{},,,none,unknown,"[""repository-metadata:tree-unavailable""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
808,ucsc-bigwigtobedgraph,20815,Convert from bigWig to bedGraph format.,482,h0b57e2e_0,linux-64,linux-64/ucsc-bigwigtobedgraph-482-h0b57e2e_0.tar.bz2,3c6aedc84cdf2fcf00bfa362a9d8a3b1c5e4c10f4ab2e74207f0095f01a902ab,https://github.com/ucscGenomeBrowser/kent,anaconda:dev_url,False,43697ed2271f7819ef6d6f1947c0b404a508539a,C,"{""ActionScript"": 26888, ""AngelScript"": 749839, ""AppleScript"": 2107, ""Awk"": 42558, ""BitBake"": 1207, ""C"": 43842354, ""C++"": 119752, ""CAP CDS"": 3329, ""CSS"": 368782, ""Dockerfile"": 2417, ""Gherkin"": 64, ""Gnuplot"": 278017, ""HTML"": 26897488, ""Java"": 174889, ""JavaScript"": 3494851, ""Jupyter Notebook"": 9410, ""Logos"": 220, ""Lua"": 21602, ""Makefile"": 1102488, ""PHP"": 190460, ""Pascal"": 256, ""Pep8"": 1734, ""Perl"": 4259789, ""PostScript"": 225917, ""Python"": 5080150, ""R"": 20261, ""Raku"": 20302, ""RenderScript"": 6487, ""Roff"": 435, ""Ruby"": 145197, ""Shell"": 28000239, ""TSQL"": 25995, ""Tcl"": 35359, ""VBScript"": 1579, ""Yacc"": 5972, ""q"": 120, ""sed"": 9929}",ucscgenomebrowser.kent,,none,excluded,"[""repository-metadata:no-end-user-cli-found""]",BED,BED,UNKNOWN,False,,False,NO_END_USER_CLI,metadata_interface_reviewed,
809,bakta,20788,"Rapid & standardized annotation of bacterial genomes, MAGs & plasmids.",1.12.0,pyhdfd78af_0,noarch,noarch/bakta-1.12.0-pyhdfd78af_0.conda,e6ff51a9d3d25fc9a85c0a50e78a4d661c2055e8b5f732984a6c686fce63cafa,https://github.com/oschwengers/bakta,anaconda:dev_url,False,33bf16aed530197616cdd6c60744ed6f61e78a2b,Python,"{""Common Workflow Language"": 8877, ""Dockerfile"": 2256, ""JavaScript"": 512, ""Nextflow"": 5947, ""Python"": 605804, ""Shell"": 22572}",oschwengers.bakta,bakta;bakta_db;bakta_io;bakta_plot;bakta_proteins,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:bakta"", ""repository:README:documented-command"", ""repository:bin/bakta:launcher"", ""repository:setup.py:declared-executable:bakta"", ""repository:setup.py:declared-executable:bakta_db"", ""repository:setup.py:declared-executable:bakta_io"", ""repository:setup.py:declared-executable:bakta_plot"", ""repository:setup.py:declared-executable:bakta_proteins""]",FASTA;GFF,FASTA;GFF,UNKNOWN,True,195,True,,metadata_interface_reviewed,
