candidate_rank,pkg_name,download_count
399,primer3-py,58747
400,perl-sub-identify,58493
401,perl-eval-closure,58448
402,perl-apache-test,58382
403,r-r.oo,58298
404,r-r.utils,58151
405,fgbio-minimal,58037
406,r-r.methodss3,58023
407,bioconductor-genefilter,58001
408,phyml,57983
409,prokka,57941
410,chromap,57596
411,py2bit,57558
412,bioconductor-gosemsim,57524
413,perl-sub-exporter,57471
414,bioconductor-scater,57091
415,snakemake-executor-plugin-cluster-generic,56845
416,nextclade,56719
417,perl-set-intervaltree,56716
418,lima,56667
419,fastani,56646
420,perl-class-load,56323
421,quast,56314
422,varscan,56279
423,bioconductor-dirichletmultinomial,56205
424,perl-mro-compat,56160
425,bioconductor-dose,56086
426,perl-devel-overloadinfo,56004
427,perl-module-runtime-conflicts,55845
428,augur,55751
429,perl-sub-quote,55580
430,perl-class-load-xs,55555
431,miniprot,55306
432,perl-bio-db-hts,55264
433,barrnap,55138
434,perl-params-check,55130
435,trimal,55107
436,perl-sub-name,54967
437,perl-package-deprecationmanager,54628
438,bioconductor-dada2,54432
439,gseapy,54407
440,perl-extutils-manifest,54129
441,perl-extutils-parsexs,54087
442,bioconductor-enrichplot,54020
443,jq,53928
444,perl-sereal-decoder,53866
445,perl-alien-build-plugin-download-gitlab,53612
446,deeptoolsintervals,53562
447,bwa-mem2,53390
448,unifrac,53310
449,glimmerhmm,53247
450,perl-sereal-encoder,53235
451,flye,53195
452,perl-module-load-conditional,53160
453,perl-exception-class,53100
454,perl-locale-maketext-simple,53089
455,perl-version,53055
456,perl-text-format,52929
457,bioconductor-clusterprofiler,52796
458,pplacer,52578
459,perl-sereal,52540
460,gcluster,52088
461,perl-app-cpanminus,51953
462,bioconductor-bluster,51952
463,perl-statistics-basic,51196
464,perl-ipc-cmd,51175
465,parallel-fastq-dump,51063
466,perl-io-tty,50562
467,perl-path-tiny,50543
468,perl-extutils-cbuilder,50528
469,perl-set-intspan,50424
470,perl-math-bezier,50416
471,circos,50390
472,perl-math-vecstat,50252
