run_id,project_id,repository_id,snapshot_date,snapshot_commit,source_component_id,executable_id,installation_id,check_id,probe_id,domain,status,result_kind,applicability,method,started_at,duration_seconds,environment_id,config_sha256,notes
repository-retry,cyvcf2,brentp/cyvcf2,2026-07-01,b8f22b53d3c97fac1f44041220af6cc3c9690f95,,,,REPO-DOCUMENTATION-001,repository:documentation,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:15.493661Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,cyvcf2,brentp/cyvcf2,2026-07-01,b8f22b53d3c97fac1f44041220af6cc3c9690f95,,,,REPO-RELEASES-001,repository:releases,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:15.518285Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,cyvcf2,brentp/cyvcf2,2026-07-01,b8f22b53d3c97fac1f44041220af6cc3c9690f95,,,,REPO-STANDARD-TESTS-001,repository:standard-tests,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:15.502142Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,Upstream tests were detected but never executed.
repository-retry,cyvcf2,brentp/cyvcf2,2026-07-01,b8f22b53d3c97fac1f44041220af6cc3c9690f95,,,,REPO-VERIFICATION-CI-001,repository:verification-ci,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:15.510187Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,diamond,bbuchfink/diamond,2026-07-01,61701341f281be3c53b110693a2c14c59757b5da,,,,REPO-ACTIVITY-001,repository:activity,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:35.578912Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,diamond,bbuchfink/diamond,2026-07-01,61701341f281be3c53b110693a2c14c59757b5da,,,,REPO-DOCUMENTATION-001,repository:documentation,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:35.592835Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,diamond,bbuchfink/diamond,2026-07-01,61701341f281be3c53b110693a2c14c59757b5da,,,,REPO-RELEASES-001,repository:releases,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:35.618945Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,diamond,bbuchfink/diamond,2026-07-01,61701341f281be3c53b110693a2c14c59757b5da,,,,REPO-STANDARD-TESTS-001,repository:standard-tests,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:35.601633Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,Upstream tests were detected but never executed.
repository-retry,diamond,bbuchfink/diamond,2026-07-01,61701341f281be3c53b110693a2c14c59757b5da,,,,REPO-VERIFICATION-CI-001,repository:verification-ci,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:35:35.610534Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,foldseek,steineggerlab/foldseek,2026-07-01,7f4b94644d6b210af4530e04a9fdc9e4bb64ea66,,,,REPO-ACTIVITY-001,repository:activity,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:00.147422Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,foldseek,steineggerlab/foldseek,2026-07-01,7f4b94644d6b210af4530e04a9fdc9e4bb64ea66,,,,REPO-DOCUMENTATION-001,repository:documentation,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:00.160683Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,foldseek,steineggerlab/foldseek,2026-07-01,7f4b94644d6b210af4530e04a9fdc9e4bb64ea66,,,,REPO-RELEASES-001,repository:releases,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:00.185857Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,foldseek,steineggerlab/foldseek,2026-07-01,7f4b94644d6b210af4530e04a9fdc9e4bb64ea66,,,,REPO-STANDARD-TESTS-001,repository:standard-tests,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:00.169382Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,Upstream tests were detected but never executed.
repository-retry,foldseek,steineggerlab/foldseek,2026-07-01,7f4b94644d6b210af4530e04a9fdc9e4bb64ea66,,,,REPO-VERIFICATION-CI-001,repository:verification-ci,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:00.177803Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,freebayes,freebayes/freebayes,2026-07-01,6957c3cea3aea52e70a04bd2de69f690f59e97cd,,,,REPO-ACTIVITY-001,repository:activity,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:10.950756Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,freebayes,freebayes/freebayes,2026-07-01,6957c3cea3aea52e70a04bd2de69f690f59e97cd,,,,REPO-DOCUMENTATION-001,repository:documentation,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:10.963134Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,freebayes,freebayes/freebayes,2026-07-01,6957c3cea3aea52e70a04bd2de69f690f59e97cd,,,,REPO-RELEASES-001,repository:releases,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:10.986257Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,freebayes,freebayes/freebayes,2026-07-01,6957c3cea3aea52e70a04bd2de69f690f59e97cd,,,,REPO-STANDARD-TESTS-001,repository:standard-tests,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:10.971291Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,Upstream tests were detected but never executed.
repository-retry,freebayes,freebayes/freebayes,2026-07-01,6957c3cea3aea52e70a04bd2de69f690f59e97cd,,,,REPO-VERIFICATION-CI-001,repository:verification-ci,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:36:10.978933Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,genometools-genometools,genometools/genometools,2026-07-01,1f0ff66b3ab77021250b7bc474a8d423149290db,,,,REPO-ACTIVITY-001,repository:activity,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:11.866601Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,genometools-genometools,genometools/genometools,2026-07-01,1f0ff66b3ab77021250b7bc474a8d423149290db,,,,REPO-DOCUMENTATION-001,repository:documentation,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:11.920389Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,genometools-genometools,genometools/genometools,2026-07-01,1f0ff66b3ab77021250b7bc474a8d423149290db,,,,REPO-RELEASES-001,repository:releases,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:11.945587Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,genometools-genometools,genometools/genometools,2026-07-01,1f0ff66b3ab77021250b7bc474a8d423149290db,,,,REPO-STANDARD-TESTS-001,repository:standard-tests,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:11.929330Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,Upstream tests were detected but never executed.
repository-retry,genometools-genometools,genometools/genometools,2026-07-01,1f0ff66b3ab77021250b7bc474a8d423149290db,,,,REPO-VERIFICATION-CI-001,repository:verification-ci,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:11.937729Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,minimap2,lh3/minimap2,2026-07-01,3c28777e7e2dcc90f825de1b9f17a89cca7d4452,,,,REPO-ACTIVITY-001,repository:activity,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:20.925390Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
repository-retry,minimap2,lh3/minimap2,2026-07-01,3c28777e7e2dcc90f825de1b9f17a89cca7d4452,,,,REPO-DOCUMENTATION-001,repository:documentation,repository,OBSERVED,MEASUREMENT,APPLICABLE,automated_with_manifest,2026-07-16T17:37:20.937508Z,0.0,sha256:f2045050fde04109c5e1611d916eb1af2029c5289d1f3b3ce7fbd8793719fb0a,7b20bec233b1e313aa6b9d2b622b88b9d455be7760e1d92f01b6c76bf00b59fd,
